id,location,fault_severity,event_type_1,event_type_2,event_type_3,event_type_4,event_type_5
774,location 8,2,3,1,4,4,4
775,location 10,0,0,4,3,4,0
776,location 9,0,2,0,2,1,1
777,location 18,0,3,0,2,2,2
778,location 27,0,1,1,1,4,2
779,location 26,0,0,2,1,0,3
780,location 2,0,4,0,0,1,1
781,location 5,0,2,4,3,3,2
782,location 29,1,0,0,0,3,3
783,location 5,1,4,4,2,0,1
784,location 6,1,4,3,4,4,2
785,location 19,0,3,3,4,1,0
786,location 8,0,3,4,1,0,4
787,location 16,0,3,2,4,4,1
788,location 13,2,0,0,4,1,3
789,location 1,0,0,0,4,3,1
790,location 22,1,2,3,2,1,3
791,location 20,0,3,4,4,2,1
792,location 17,0,4,0,4,1,3
793,location 7,1,1,0,4,2,2
794,location 25,0,2,2,0,1,0
795,location 13,1,0,1,2,2,2
796,location 4,2,2,3,1,3,0
797,location 4,0,2,3,0,4,2
798,location 6,0,2,1,3,2,2
799,location 28,0,2,0,2,2,1
800,location 19,2,1,2,2,3,4
801,location 29,0,3,2,3,2,3
802,location 12,0,4,3,3,0,3
803,location 22,0,2,2,3,3,3
804,location 7,1,2,1,1,0,0
805,location 27,0,2,0,4,3,3
806,location 10,1,3,1,2,2,3
807,location 26,2,0,4,4,0,1
808,location 19,0,0,3,4,2,2
809,location 7,0,1,2,3,3,3
810,location 3,2,0,4,1,2,4
811,location 13,0,2,2,0,0,3
812,location 13,1,2,0,1,0,0
813,location 18,0,2,0,4,2,0
814,location 28,0,1,0,1,1,0
815,location 26,1,2,2,3,3,3
816,location 20,0,0,4,0,3,1
817,location 28,0,3,0,3,2,4
818,location 8,0,3,4,0,1,3
819,location 29,0,4,2,4,0,1
820,location 9,0,0,4,0,4,1
821,location 7,0,2,2,0,4,3
822,location 1,2,3,2,0,2,3
823,location 3,0,0,3,1,1,1
824,location 13,0,3,2,1,1,1
825,location 28,0,2,2,4,3,1
826,location 25,1,3,1,0,0,3
827,location 28,0,4,0,2,1,1
828,location 17,2,4,3,4,4,0
829,location 25,0,3,3,0,0,3
830,location 24,0,0,3,0,0,0
831,location 1,0,0,1,1,2,2
832,location 6,0,0,2,4,1,3
833,location 21,0,3,0,0,2,2
834,location 6,0,0,4,0,1,1
835,location 26,1,2,2,4,3,1
836,location 12,0,4,1,2,2,4
837,location 13,0,2,2,4,2,1
838,location 13,0,0,2,4,4,2
839,location 29,1,2,1,2,2,1
840,location 15,0,0,3,4,1,3
841,location 21,0,3,3,0,4,1
842,location 16,0,2,0,4,2,4
843,location 22,1,3,0,2,2,1
844,location 21,0,3,3,3,3,2
845,location 11,0,1,4,4,2,2
846,location 28,1,0,2,1,0,1
847,location 5,1,4,4,0,4,2
848,location 4,0,0,2,0,0,2
849,location 3,1,4,3,1,4,4
850,location 19,0,0,0,1,3,3
851,location 20,0,3,0,4,2,4
852,location 25,0,2,4,1,2,0
853,location 18,0,2,0,3,2,4
854,location 15,0,1,3,2,4,1
855,location 9,2,4,4,1,2,3
856,location 17,0,4,2,1,0,1
857,location 14,0,4,0,3,2,0
858,location 15,0,3,1,0,3,3
859,location 1,2,4,0,0,0,2
860,location 21,0,2,2,4,2,4
861,location 22,0,3,4,3,2,1
862,location 22,0,0,2,2,1,0
863,location 3,0,4,1,2,4,2
864,location 16,2,4,3,3,0,4
865,location 23,2,0,0,2,1,2
866,location 25,0,4,4,0,3,4
867,location 11,2,0,3,2,4,3
868,location 12,0,3,2,2,0,2
869,location 10,1,2,4,3,2,2
870,location 16,0,0,3,3,0,2
871,location 8,0,1,4,2,2,3
872,location 6,0,0,1,1,4,0
873,location 12,0,4,1,3,2,4
874,location 24,0,3,0,4,3,2
875,location 28,0,3,0,4,2,3
876,location 21,0,0,1,0,3,0
877,location 8,1,2,4,2,4,4
878,location 26,0,1,1,1,4,3
879,location 28,0,3,0,0,0,4
880,location 4,2,4,1,2,3,2
881,location 26,0,4,1,3,3,0
882,location 8,0,2,4,4,1,3
883,location 26,0,3,3,1,1,0
884,location 28,1,0,0,4,1,2
885,location 18,0,4,4,3,2,0
886,location 28,0,2,1,2,1,0
887,location 28,1,3,1,3,3,1
888,location 5,2,3,3,3,2,0
889,location 9,0,3,0,4,4,4
890,location 4,0,3,0,1,0,3
891,location 27,0,3,2,3,1,1
892,location 22,1,4,0,4,4,3
893,location 17,0,2,3,1,3,3
894,location 9,0,3,2,2,0,2
895,location 1,2,1,2,2,4,2
896,location 21,0,1,1,0,0,1
897,location 20,0,2,1,4,1,2
898,location 13,0,0,0,1,3,2
899,location 28,0,0,2,3,0,2
900,location 16,0,0,1,2,4,3
901,location 29,0,1,3,1,1,1
902,location 13,0,0,1,4,1,3
903,location 14,0,4,1,0,4,4
904,location 3,2,3,2,2,4,3
905,location 29,0,1,2,1,0,4
906,location 6,2,2,4,1,2,0
907,location 18,0,2,3,1,1,0
908,location 19,1,3,2,4,0,4
909,location 5,1,1,0,4,4,4
910,location 15,0,0,3,4,0,3
911,location 25,1,0,3,3,4,4
912,location 2,1,4,2,1,3,1
913,location 10,0,4,3,2,4,0
914,location 24,0,0,2,4,4,0
915,location 18,0,2,1,4,4,4
916,location 27,1,2,4,1,2,2
917,location 13,1,4,1,4,4,2
918,location 5,1,3,2,3,1,4
919,location 23,0,0,2,3,1,1
920,location 24,1,4,1,4,0,2
921,location 1,0,4,0,1,2,4
922,location 22,0,0,0,1,0,1
923,location 1,0,0,0,1,1,1
924,location 18,0,2,2,0,1,3
925,location 15,0,3,3,4,3,1
926,location 17,0,3,2,1,4,2
927,location 11,0,0,3,3,1,2
928,location 21,0,1,1,2,0,4
929,location 26,0,4,4,2,0,4
930,location 25,0,4,3,1,4,1
931,location 22,0,0,0,2,4,0
932,location 27,0,1,2,2,3,3
933,location 27,0,2,1,0,2,0
934,location 17,0,0,0,3,0,1
935,location 13,0,0,1,3,4,1
936,location 1,0,4,4,0,0,0
937,location 2,0,0,2,0,4,3
938,location 9,0,0,2,2,1,0
939,location 3,1,0,4,4,0,4
940,location 1,0,4,2,2,1,2
941,location 21,0,2,3,0,0,4
942,location 16,0,2,1,3,2,2
943,location 23,0,0,0,2,3,1
944,location 6,0,4,4,4,1,3
945,location 28,0,2,3,2,4,0
946,location 17,0,2,0,1,2,3
947,location 5,0,2,0,2,0,0
948,location 5,0,4,4,0,1,4
949,location 6,1,4,3,3,0,4
950,location 3,1,0,0,3,0,0
951,location 21,1,3,0,0,0,3
952,location 23,2,2,3,1,3,0
953,location 5,0,3,2,0,3,1
954,location 21,0,4,0,2,4,4
955,location 5,0,4,1,0,1,1
956,location 10,0,4,3,0,2,4
957,location 10,1,3,0,1,2,4
958,location 19,0,4,4,2,2,2
959,location 17,2,0,1,4,0,1
960,location 21,0,4,0,4,3,1
961,location 14,2,1,1,3,1,2
962,location 9,0,3,1,0,0,3
963,location 14,0,1,2,3,3,1
964,location 1,0,4,1,1,3,0
965,location 19,0,0,2,4,1,2
966,location 13,0,2,3,0,1,1
967,location 13,0,4,2,1,1,3
968,location 4,1,0,4,1,0,1
969,location 1,0,3,0,0,4,4
970,location 17,0,1,3,1,1,0
971,location 8,0,1,3,0,4,2
972,location 2,1,1,4,0,0,4
973,location 28,0,3,2,2,4,3
974,location 8,0,0,0,3,2,4
975,location 7,0,3,2,1,4,4
976,location 26,0,1,1,1,1,3
977,location 26,0,4,2,2,0,4
978,location 2,0,2,3,2,1,2
979,location 22,0,3,0,2,2,1
980,location 22,1,3,2,4,1,4
981,location 3,0,0,0,4,1,2
982,location 27,0,0,0,4,1,1
983,location 18,0,3,1,0,3,1
984,location 12,2,1,1,1,2,4
985,location 1,0,2,3,3,1,2
986,location 22,1,0,4,0,1,4
987,location 12,0,1,0,1,1,3
988,location 5,0,4,4,1,0,1
989,location 27,0,0,3,2,3,4
990,location 25,2,1,0,2,0,1
991,location 17,0,1,0,0,3,2
992,location 16,1,2,4,2,1,0
993,location 15,1,2,2,1,2,4
994,location 23,0,4,1,2,4,4
995,location 15,0,1,2,4,4,1
996,location 5,0,1,4,2,1,2
997,location 21,0,2,1,1,0,3
998,location 14,1,0,2,0,2,2
999,location 2,2,0,1,3,3,4
1000,location 11,0,3,0,2,1,3
